t,x,y,z,phi,theta,psi,u,v,w,p,q,r,u1,u2,u3,u4,u5,u6
6.799974,-0.07364055,0.1652448,0.004023047,-0.011519173063162576,-0.017627825445142728,0.18081611050661253,-0.00268571,-0.0003673535,0.04727332,0.0003784683651096632,0.00021527397139581137,-0.0005418037814270761,80.0,80.0,80.0,80.0,80.0,80.0
6.900083,-0.07361278,0.1644383,0.01139334,-0.011519173063162576,-0.017627825445142728,0.18081611050661253,-0.003452474,-0.0003124624,0.04887362,0.0004076071605704841,-0.00018453086928655728,0.0004417896085037182,80.0,80.0,80.0,80.0,80.0,80.0
6.999894,-0.07376683,0.1624924,0.02074042,-0.011519173063162576,-0.017627825445142728,0.18081611050661253,-0.003653751,-0.0008501902,0.05052994,-0.00013725202915171832,-0.00022232841769944726,0.0005699791551407962,80.0,80.0,80.0,80.0,80.0,80.0
7.10006,-0.07420772,0.1610507,0.02778088,-0.011519173063162576,-0.017627825445142728,0.18081611050661253,-0.004468727,-0.001325066,0.05202992,-0.0003492449211801205,0.00021502456384570138,-0.0001390818497928017,80.0,80.0,80.0,80.0,80.0,80.0
7.200247,-0.07379306,0.1584164,0.03131337,-0.011693705988362009,-0.017627825445142728,0.18081611050661253,-0.005322576,-0.002598265,0.05237984,0.00037551125375800916,0.0003257334162935797,-0.00020164958218889324,80.0,80.0,80.0,80.0,80.0,80.0
7.300108,-0.07347549,0.1558927,0.0325072,-0.011693705988362009,-0.017627825445142728,0.18081611050661253,-0.005981796,-0.004021786,0.05162735,-0.00010066209150157572,0.00013335120082021848,0.0003649563751065734,80.0,80.0,80.0,80.0,80.0,80.0
7.399965,-0.07259902,0.1542714,0.03334479,-0.011693705988362009,-0.017627825445142728,0.18081611050661253,-0.005979925,-0.004375069,0.05133004,-4.4668071919950714e-05,5.917945490602489e-05,-0.00011226662861845332,80.0,80.0,80.0,80.0,80.0,80.0
7.500079,-0.07224315,0.1530554,0.03315749,-0.011693705988362009,-0.017627825445142728,0.18081611050661253,-0.006012618,-0.004254348,0.05072044,-0.00025767133505233246,-5.950925232148173e-05,-0.00012768378512643502,80.0,80.0,80.0,80.0,80.0,80.0
7.599912,-0.07242834,0.1521837,0.03224469,-0.011693705988362009,-0.017627825445142728,0.18081611050661253,-0.006648231,-0.003718894,0.04994535,0.0001114578779496642,-0.00016204535620080134,-0.00022473033981604184,80.0,80.0,80.0,80.0,80.0,80.0
7.699978,-0.07297064,0.1515878,0.03068646,-0.011519173063162576,-0.017627825445142728,0.18081611050661253,-0.007481648,-0.003343028,0.04940977,-0.0001320856102197198,4.882319472346614e-06,-0.00030111746705637686,80.0,80.0,80.0,80.0,80.0,80.0
